Date,Cash,Shares,Portfolio Value,Portfolio Return
2023-02-03,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-06,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-07,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-08,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-09,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-10,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-13,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-14,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-15,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-16,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-17,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-20,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-21,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-22,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-23,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-24,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-27,92907.6173743399,0.0,92907.6173743399,0.0
2023-02-28,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-01,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-02,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-03,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-06,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-08,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-09,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-10,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-13,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-14,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-15,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-16,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-17,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-20,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-21,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-22,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-23,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-24,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-27,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-28,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-29,92907.6173743399,0.0,92907.6173743399,0.0
2023-03-31,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-03,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-05,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-06,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-10,92907.6173743399,0.0,92907.6173743399,0.0
